"wwtp_jurisdiction","wwtp_id","reporting_jurisdiction","sample_location","sample_location_specify","key_plot_id","county_names","county_fips","population_served","date_start","date_end","ptc_15d","detect_prop_15d","percentile","sampling_prior","first_sample_date"
"Maryland",2952,"Maryland","Before treatment plant",91,"CDC_VERILY_md_2952_Before treatment plant_91_raw wastewater","Montgomery","24031",5354,"2025-02-04","2025-02-18",-99,100,999,"no","2025-02-13"
"Maryland",2952,"Maryland","Before treatment plant",91,"CDC_VERILY_md_2952_Before treatment plant_91_raw wastewater","Montgomery","24031",5354,"2025-02-10","2025-02-24",-95,100,999,"no","2025-02-13"
"Maryland",2952,"Maryland","Before treatment plant",91,"CDC_VERILY_md_2952_Before treatment plant_91_raw wastewater","Montgomery","24031",5354,"2025-02-17","2025-03-03",35,100,999,"no","2025-02-13"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-10-24","2024-11-07",-98,100,96.5,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-10-29","2024-11-12",-85,100,93,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-05","2024-11-19",-72,100,87.75,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-07","2024-11-21",-44,100,83.5,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-09","2024-11-23",-49,100,74,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-11","2024-11-25",-62,100,66,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-19","2024-12-03",-96,80,48.8,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-21","2024-12-05",-80,80,46.2,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-23","2024-12-07",-23,80,43.4,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-26","2024-12-10",2083,75,37.25,"no","2024-11-05"
"Arizona",1212,"Arizona","Before treatment plant",98,"NWSS_az_1212_Before treatment plant_98_raw wastewater","Maricopa","04013",12542,"2024-11-28","2024-12-12",1055,80,40.2,"no","2024-11-05"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-07-25","2022-08-08",5,100,87,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-07-27","2022-08-10",742,100,90.5,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-01","2022-08-15",54,100,91.333,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-03","2022-08-17",8,100,90.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-08","2022-08-22",-38,100,88.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-10","2022-08-24",-62,100,85.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-15","2022-08-29",-67,100,80.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-17","2022-08-31",-55,100,76,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-23","2022-09-06",-63,100,65.75,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-25","2022-09-08",53,100,70,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-29","2022-09-12",-32,100,66.2,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-08-31","2022-09-14",-16,100,66.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-05","2022-09-19",250,100,71.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-07","2022-09-21",189,100,80.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-12","2022-09-26",271,100,78.4,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-14","2022-09-28",15,100,84.6,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-19","2022-10-03",-73,100,84,"no","2022-08-08"
"Michigan",889,"Michigan","Before treatment plant",122,"NWSS_mi_889_Before treatment plant_122_raw wastewater","Ottawa","26139",6657,"2022-09-21","2022-10-05",-41,100,83.4,"no","2022-08-08"
